content,score,at,sentiment
"Gofood sangat membantu sekali dalam keadaan lapar tapi mager. Gojek sangat membantu saat bepergian tapi mager bawa kendaraan atau sedang tidak bawa kendaraan. Gosend sangat membantu saat ingin mengirim sesuatu tapi mager. Gocar, Go shop juga ok keren pokoknya sangat membantu saya saat dibutuhkan.",5,2026-05-31 15:55:09,Positif
terimakasih atas penanganan call center 24 jam sangat cepat,5,2026-05-31 15:44:28,Positif
tangkurak sia,5,2026-05-31 14:57:27,Positif
banyakkkk bgttt promonya dan g nanggung klo ada promo,5,2026-05-31 14:51:40,Positif
"sangat disayangkan driver nya masih ada aja yg klo ga mau ambil orderan di chat ataupun ditelpon ga direspon dan diem aja ga gerak.. harus ada perhatian dr aplikasi untuk driver yg seperti ini, gpp klo ga mau ambil orderan, tinggal chat customer aja kok, jangan diem aja sampe kita nunggu lama dan akhirnya jg cancel.. jd buang2 waktu aja jd nya",3,2026-05-31 14:48:55,Netral
sangat membantu,5,2026-05-31 14:48:40,Positif
aplikasi yg sangat membantu,5,2026-05-31 14:17:46,Positif
terbantukan dg gojek. thank alot... sukses buat smua,5,2026-05-31 14:17:26,Positif
aplikasi sampah. pesen makanan ga dapet dapet driver. dipikir pesen makan cuman buat nunggu kali? ya buat makan lah!!,1,2026-05-31 14:15:12,Negatif
"info aja kalau mau jadi mitra grab khusus motor mending batalin aja sudah penuh, yg dicari cuma yang mobil",5,2026-05-31 14:02:58,Positif
👍👍👍👍👍,5,2026-05-31 14:02:17,Positif
sekarang kalau mau gofood kenapa estimasi waktu sampainya lama sekali terutama yang diskon murah. padahal makanan yang disiapkan termasuk ringan dan ringkas.,1,2026-05-31 13:45:39,Negatif
aman,5,2026-05-31 13:25:38,Positif
bagusss,5,2026-05-31 12:57:01,Positif
"bagus mantap, pelayanan ok... saran untuk metode pembayaran gopay di permudah, masa setengah², udh bayar lewat gopay bayar lagi sisa nya cash.",5,2026-05-31 12:43:35,Positif
mahal terus kalau hujan susah dapet driver,4,2026-05-31 12:39:40,Positif
mantaps,5,2026-05-31 12:19:40,Positif
Warung bukak jadi tutup,5,2026-05-31 12:06:15,Positif
kerja cepat dan tanggung jawab❤️,5,2026-05-31 12:04:58,Positif
cepat sekali,5,2026-05-31 11:39:09,Positif
Bagus Cepat,5,2026-05-31 11:36:02,Positif
senang...baik drivernya,5,2026-05-31 11:32:12,Positif
cepat aman dan nyaman,5,2026-05-31 11:21:32,Positif
sangat membantu aplikasi ini untuk kegiatan yg super sibuk,5,2026-05-31 11:20:53,Positif
i hate gojek. mau hapus akun aja saldonya harus nol dulu. ribet banget malah jadi rugi banyak.,1,2026-05-31 11:15:47,Negatif
It's Very Good,5,2026-05-31 11:14:51,Positif
sopirnya enak ramah & sabar,5,2026-05-31 11:12:34,Positif
cepat dan aman,5,2026-05-31 11:03:08,Positif
keren ... gak banyak drama langsung sat set gak kayak aolikasi sebelah...,5,2026-05-31 10:57:33,Positif
Mantap,5,2026-05-31 10:57:08,Positif
padu,5,2026-05-31 10:51:23,Positif
Gk bermutu...pinjaman gak pernah telat bayar..tapi pas lunas mau ajuin lagi gak bisa...sesuai mood yah yg ACC pinjaman di gojek,1,2026-05-31 10:38:51,Negatif
"kalo supir gocar nggak mau nerima orderan , bukannya di tolak atau ngasi tauu ke customer. malah dibiarin gitu aja . nyusahinn",1,2026-05-31 10:36:19,Negatif
baik drivernya,5,2026-05-31 10:32:33,Positif
"selalu apes,,pesen gocar XL,,dapetny calya/sigra...",3,2026-05-31 10:18:17,Netral
lebih detail dripada apk sebelah,4,2026-05-31 10:11:22,Positif
the best,5,2026-05-31 09:58:38,Positif
"sampai sekarang saya nyaman pake Gojek ,Terima kasih",5,2026-05-31 09:57:19,Positif
okkkkkkk,5,2026-05-31 09:39:49,Positif
enak nyaman cepet sampai tarif murah terima kasih gojek,5,2026-05-31 09:39:28,Positif
LEMOT MAHAL STUPID TLOLL,1,2026-05-31 09:21:20,Negatif
"Di bagian GoPulsa, apa maksudnya provider tidak tersedia? Perbaiki yg benar! Jgn mempersulit!",1,2026-05-31 09:17:36,Negatif
semoga bangkrut,1,2026-05-31 09:03:23,Negatif
bagus dan aman,5,2026-05-31 09:02:44,Positif
Solusi driver kabur bawa orderan gofood dong,1,2026-05-31 08:50:06,Negatif
"tolong dong bagian gofood nya bisa chat pihak resto, kalo cs kelupaan psg deskripsi mau komunikasi pihak resto mengenai detail makanan spt bagian ayam paha atau dada tu nyusahin bgt, mana resto tuh dikasi rata dada (bagi yg gak suka) mau minta tukar driver gak mau krna estimasi hrs tepat waktu😭",4,2026-05-31 08:49:39,Positif
pasti terlaksana apapun kebutuhan kita di waktu memakai aplikasi ini👍,5,2026-05-31 08:32:33,Positif
drivernya ramah,5,2026-05-31 08:13:53,Positif
sangat berguna saat buru2,5,2026-05-31 08:11:44,Positif
aplikasinya selalu bermasalah,1,2026-05-31 07:35:58,Negatif
oke,5,2026-05-31 06:48:06,Positif
lebih cepat jemput,5,2026-05-31 06:41:56,Positif
sangat oke... baik diperjalanan sangat membantu disaat diperlukan,5,2026-05-31 06:07:45,Positif
oke,5,2026-05-31 06:00:02,Positif
cepat dan ga ribet,5,2026-05-31 05:53:42,Positif
ok,5,2026-05-31 05:28:42,Positif
baik & bagus servis nya 👍👍,5,2026-05-31 05:22:59,Positif
good,5,2026-05-31 05:20:43,Positif
wow,5,2026-05-31 05:18:34,Positif
tiap hari langganan Go-Jek ke mana-mana tapi nyari driver nyah setengah mati Go-Jek kekurangan driver apa gii mana ?,2,2026-05-31 05:05:10,Negatif
aplikasi terpercaya untuk pengguna yang cepat tanggap respon,5,2026-05-31 05:04:42,Positif
bagus dan membantu,5,2026-05-31 03:49:22,Positif
Lamaaa. kalo mesen gofood suka di cancel driver. mana ga bisa dibatalin. benahin dong sistemnya,1,2026-05-31 01:53:24,Negatif
kelamaan.,1,2026-05-31 01:10:41,Negatif
"ada saldo di gojek tbtb habis kepotong biaya yang gajelas , kaya capcut dan remini ai padahal gak ada aplikasinya dan gapernah pake, sumpah kecewa bener, niatnya mau nabung di gojek malah kepotong biaya gak jelas, najis",1,2026-05-31 00:51:08,Negatif
"sistem sering eror, posisi Driver tidak bergerak padahal drivernya sudah jalan",3,2026-05-31 00:36:34,Netral
ku kasih 2 bintang karena drivernya susah di wilayah sragen perjalanannya kurang membantu,2,2026-05-31 00:18:18,Negatif
"apk gajelas ke cancel sampe 6 kali kasian emak gue nunggu, perbaiki deh tuh drivernya.",1,2026-05-31 00:09:24,Negatif
mantap,5,2026-05-30 23:46:12,Positif
"DEVELOPER TOLOL GAK BISA TEGAS KE MITRA REKRUTANNYA, MITRA DRIVERNYA BRENGSEK SEMUA!!!",1,2026-05-30 23:42:18,Negatif
"Jelek bgt sistem Gofood nya. . ga bisaa di cancel, Harus nunggu lama banget ternyata belum di proses juga!! Apa lagi pas cari Diver lama, ga langsung di cancel malah gunta ganti Driver. KLO orang sekarat udh keburu MATI!",1,2026-05-30 23:35:56,Negatif
cape perjalanan dari cikarang ke jakarta hujan deres gada yg mau ambil orderan dari motor sampe mobil cancel trs!! nunggu dari jam 10 malam sampe jam 11 malam gada juga...,1,2026-05-30 23:35:26,Negatif
good,5,2026-05-30 23:20:07,Positif
Jujur utk aplikasi transportasi aku selalu pakai Gojek. Drivernya hampir semua ramah-ramah. Dan ntah kenapa selalu merasa safety kalau naik ini. Promo juga lumayan pokoknya langganan aja kuncinya. Tp paling penting kenyamanan sih. Tetap pertahanin plisss !!!,5,2026-05-30 22:58:09,Positif
baik,5,2026-05-30 22:54:49,Positif
"jek,mau nanya ni,KENAPA ULASAN DI APP DRIVER GOJEK TIDAK PERNAH DIBALAS OLEH KALIAN,APAKAH DRIVER TIDAK PENTING BAGI KALIAN?",5,2026-05-30 22:40:05,Positif
"Udah paling nyaman dah Gojek mah, mantap.",5,2026-05-30 22:25:45,Positif
sangat membantu jika lagi laper pesen di gofood👍,5,2026-05-30 22:03:26,Positif
ini gojek ada apa kok di gojek saldo update tolong perbaiki,2,2026-05-30 21:57:49,Negatif
good,5,2026-05-30 21:34:49,Positif
makanan selisih 7.000 dari harga aslinya belum lagi ada tambahan biaya penangan dan pengiriman. jika harga asli di toko ofline 21.000 di aplikasi i 28.000 di tambah biaya penangan dan pengiriman total ketemu 40 lebih,1,2026-05-30 21:34:22,Negatif
nyari driver susah,1,2026-05-30 21:27:28,Negatif
mudah akses,5,2026-05-30 21:19:00,Positif
"padahal saya cuma disuruh batalin, malah disuruh bayar denda 3rb saya kecewa",1,2026-05-30 21:16:47,Negatif
ok,5,2026-05-30 21:04:25,Positif
pesanan jelek,1,2026-05-30 20:41:27,Negatif
Lumayan Bagus 😊🙏,4,2026-05-30 20:33:54,Positif
ok,5,2026-05-30 20:33:35,Positif
banyak hal jadi lebih mudah setelah ada gojek. mau pergi kemanapun dan pesan apapun bisa dari rumah dan jadi lebih praktis love buat gojek🫶 semoga sukses selalu,5,2026-05-30 20:30:00,Positif
cukup bagus,5,2026-05-30 20:09:09,Positif
susah amat nyari driver padahal bayar ga gratis wkwk,1,2026-05-30 20:07:21,Negatif
mantul,5,2026-05-30 19:48:15,Positif
gojek kok mahal sekarang,5,2026-05-30 19:19:04,Positif
"pengiriman cepat, tepat waktu, banyak diskonnya.. sukses selalu gojek. mudah cari semua menu di aplikasi ini",5,2026-05-30 19:01:21,Positif
tolong dong datang ke daerah plosok aku beneran butuh gojek kalo beneran urgent disini susah banget 😭😭,5,2026-05-30 18:53:08,Positif
"sudah menghubungi pusat bantuan, tapi tidak membuahkan hasil uang hilang 5,6 juta",1,2026-05-30 18:37:17,Negatif
👍👍👍,5,2026-05-30 18:30:23,Positif
dengan berat hati saya kasih rating 1 untuk aplikasi dan driver gojek. saya sudah booking gocar dari pukul 17.00 sampai pukul 18.00 semua di cancel setelah tau saya bawa belanjaan. Perbaiki dulu sistemnya.,1,2026-05-30 18:26:53,Negatif
sangat bermanfaat,5,2026-05-30 18:22:39,Positif
good,5,2026-05-30 18:12:46,Positif
mantap,5,2026-05-30 18:11:52,Positif
Aplikasi yang sangat kompleks dan usefull di era teknologi,5,2026-05-30 18:05:07,Positif
Drivernya cepat responnya tapi kadang kadang apilakasinya gangguan,5,2026-05-30 18:00:52,Positif
"makin kesini driver pada mageran ambil order, sorry",1,2026-05-30 17:49:06,Negatif
sekarang kenapa susah banget dah nyari drivernya? udh bangkrut kah?,1,2026-05-30 17:48:13,Negatif
"Aplikasi nya sangat bermanfaat terima kasih, serta memudahkan saya untuk kegiatan sehari-hari",5,2026-05-30 17:46:12,Positif
ekonomis,5,2026-05-30 17:42:05,Positif
tidak kompeten,2,2026-05-30 17:41:26,Negatif
"aku ga ada masalah sama apk nya, tapi aku gasuka BANGET sama driver2nya yang kasar. waktu itu ada yg ngomel sepanjang jalan karena bilangnya knp pesen hemat, ada opang blabla sampai sakit telinga aku dengernya. klo gamau cancel aja, gausah nerima tp ngasih pelayanan buruk.",1,2026-05-30 17:38:24,Negatif
puas dg layanan gojek,5,2026-05-30 17:19:11,Positif
bagus banget,4,2026-05-30 17:01:26,Positif
saya suka gojek dan semua dr aplikasi ini semoga makin jaya gojek Indonesia,5,2026-05-30 16:59:41,Positif
"ga pemilik aplikasi nya ,ga pengiklan nya ,ga penjual di aplikasi nya problematik semua",1,2026-05-30 16:41:25,Negatif
"katanya potongan cuma 8%,ke driver. gw dapet order 20rb di potong 6.500. ini mah udah 30% lebih. kalau 10% ajah 2000 potongan😆",5,2026-05-30 16:39:05,Positif
"oke, sangat membantu",5,2026-05-30 16:34:18,Positif
paling murah,5,2026-05-30 16:18:54,Positif
sangat membantu,5,2026-05-30 15:49:54,Positif
aplikasi bagus bangga buatan Indonesia,5,2026-05-30 15:36:01,Positif
saya pernah membayar 2 kali dan dikembalikan🥳 makasih bgt gojek amanah,5,2026-05-30 15:22:14,Positif
sangat puas naik gojek,5,2026-05-30 15:18:35,Positif
"gojek emang nyaman kemana "" aman",5,2026-05-30 15:16:47,Positif
bermanfaat bgtt,5,2026-05-30 15:02:21,Positif
GPS melenceng saat menentukan mau dikirim barang GPS ya melenceng..,4,2026-05-30 14:56:50,Positif
sangat membantu,5,2026-05-30 14:54:44,Positif
memudahkan dan banyak promo,5,2026-05-30 14:52:24,Positif
baguss,5,2026-05-30 14:49:53,Positif
udh nahan laper di batalin tlol bngt ni aplikasi mending pake apl sebelah,1,2026-05-30 14:41:15,Negatif
"sebelum beli langganan plus,biaya ongkir gofood sangat murah,setelah beli langganan plus,ongkir jadi super mahal hanya dapat gimik diskon dan promo",1,2026-05-30 14:32:46,Negatif
"Mohon diberikan pembinaan atau sejenisnya kepada (oknum driver mobil) yang tidak mengaktifkan gps sewaktu memesan dan slow respon dalam membalas chat. Kasian kami pesen hampir menunggu 50 menit namun seakan tidak ada kepastian kapan datangnya padahal hanya berjarak 1,5 km dari titik jemput. Jika tidak mau mengambil silahkan chat saja calon penumpang supaya dicancel dan bisa nyari driver lainnya. Maaf terpaksa kami cancel karena ortu saya sedang sakit kelamaan menunggu🙏🏻. terimakasih",1,2026-05-30 14:31:08,Negatif
mntap,4,2026-05-30 14:25:52,Positif
ngebantu kalo lg mager,5,2026-05-30 14:16:29,Positif
"aplikasi gabener, masa gw booking gada yg ngambil",1,2026-05-30 14:08:49,Negatif
jos,5,2026-05-30 14:07:01,Positif
"Susah dapat driver. Padahal lagi dibutuhin banget. Apa harus bayar 5x lipat dulu baru di ""prioritaskan"" ?",1,2026-05-30 13:56:43,Negatif
Untuk saat ini 👍,5,2026-05-30 13:53:56,Positif
Kecewa,1,2026-05-30 13:36:39,Negatif
"good job, dan menyenangkan.",5,2026-05-30 13:36:00,Positif
Terbaik pokoknya.,5,2026-05-30 13:29:27,Positif
mantap,5,2026-05-30 13:24:51,Positif
siap,5,2026-05-30 13:22:26,Positif
kenapa lama install nya,1,2026-05-30 13:14:54,Negatif
sumpah parah gopay udah foto KTP tapi ditolak apaaa. ini susah jangan bikin gopay dah kawan hindari smua kawan kawan gopay parah udah di update tapi di tolak mintak sialan sialan,1,2026-05-30 12:33:19,Negatif
"sekarang bukan aplikasi transportasi, tapi lebih ke pinjol bikin orang melarat",1,2026-05-30 12:16:58,Negatif
oke sih sangat membantu,5,2026-05-30 12:15:37,Positif
tahu jalan cepat,5,2026-05-30 11:43:50,Positif
pajak 25% sangat lah besar kasian para driver yg pke motor sndiri biaya service sndiri,3,2026-05-30 11:41:25,Netral
"Makanan tidak saya terima , tp katanya sudah di antar. complain ke cs tidak ada hasil",1,2026-05-30 11:41:22,Negatif
Stop bikin kebijakan yang bentrokin costumer sama driver,1,2026-05-30 11:39:15,Negatif
sudah lama pakai aplikasi ini secara umum tak mengecewakan.,5,2026-05-30 11:17:06,Positif
SUKAAKKKKK! jujur apk ini membantu bgtt,5,2026-05-30 11:12:28,Positif
🥰😘,5,2026-05-30 11:10:48,Positif
makin goblog emang tarif ga masuk akal,1,2026-05-30 11:01:12,Negatif
"enak , cepat , bapaknya ramah dan sopan",5,2026-05-30 10:58:21,Positif
"memudahkan ,hemat waktu , praktis dan memang cepat ( tergantung situasi jalanan)",5,2026-05-30 10:44:48,Positif
sangggattt membantu dan mudah digunakan,5,2026-05-30 10:37:47,Positif
Alhamdulillah Baik puas dg pelayanannya,5,2026-05-30 10:31:56,Positif
ok,5,2026-05-30 10:26:14,Positif
good,5,2026-05-30 10:00:39,Positif
bagus,5,2026-05-30 09:54:51,Positif
daftar hemat goride malah jadi susah dapat yang jauh2. bikin sistem ya merugikan . leuheung mun nu deukeut gacor mh. ieu mh angger weh ngahuleung heula. nya jauh ngajeumpuna ge. tekor bensin ngajemput 2km kaluhur wae. ongkos ngan 8rb terus isukan teh saldo di potong 13rb. ya alloh meni kieu kieu teuing gojek ka driver.,3,2026-05-30 09:54:06,Netral
mantap pol,5,2026-05-30 09:37:56,Positif
TOP BGT Deh... Teng Qyu ya Abang QU. 👍🙏,5,2026-05-30 09:31:31,Positif
mantap,5,2026-05-30 09:17:02,Positif
terlalu menguras uang,3,2026-05-30 09:01:34,Netral
adili jokowi bebaskan nadiem,5,2026-05-30 08:38:55,Positif
"driver nya selalu ramah tamah.. namun untuk Melakukan booking go,rednya selalu lama DPT driver nya",5,2026-05-30 07:16:31,Positif
mohon di tingkatkan pelayanan yg lbh baik lagi,5,2026-05-30 06:21:36,Positif
sangat ramah dan familiar,5,2026-05-30 06:04:08,Positif
murahin dong gojeknya,1,2026-05-30 05:49:06,Negatif
"saya kasih bintang 4 karena, kemarin waktu hari Kamis jam 9an awalnya saya mau mesen gocar lalu karena saya tau kalau di daerah saya ini susah sekali dapat driver jadinya saya cancel di saat aplikasi itu sedang mencari driver, saya tinggalkan hingga jam 1an, tiba tiba dateng gocar atas nama saya, posisinya saya sudah tidak di tempat akhirnya teman saya yang mengurus masalah tersebut, dan katanya driver tersebut ""agak"" kesal dan marah, daripada saya memperpanjang urusan saya mau bayardrivenyaperg",4,2026-05-30 05:23:45,Positif
"drivernya ramah ,baik dan sopan terima kasih",5,2026-05-30 05:12:32,Positif
good,5,2026-05-30 04:30:39,Positif
resto sudah tutup tapi orderan belum di cancel juga,1,2026-05-29 23:38:08,Negatif
the best,5,2026-05-29 23:15:27,Positif
"APLIKASI BGNIAN APLIKASI MONYET... GUA PESAN MARTABAK 2 YANG DIKIRIM 1,, GUA BINGUNG NEH NYARI KESALAHAN DMANA,, DRIVER GA BSA DI CHAT (UDAH KABUR) ,,RESTO GA BISA DI CHAT LANGSUNG,,, MONYET......",1,2026-05-29 22:59:32,Negatif
Oke,5,2026-05-29 22:36:15,Positif
Hapus GOFOOD jarak dekat,1,2026-05-29 22:34:08,Negatif
apk paling membantu dalam setiap waktu,5,2026-05-29 22:01:28,Positif
"sangat membantu,",5,2026-05-29 21:43:57,Positif
Alhamdulillah barokalloh,5,2026-05-29 21:29:23,Positif
"sangat membantu, tapi kadang' sering nge bug apk nya",5,2026-05-29 21:17:07,Positif
"suka banget error diwaktu mendesak, gajelas bngt 👎👎👎",2,2026-05-29 21:14:04,Negatif
Lambat dalam merespon laporan. Worst experience ever!!,1,2026-05-29 21:12:12,Negatif
"ini parah banget sih, pesanan udah 3 jam gak sampai-sampai katanya terlambat 5-15 menit tapi ditunggu berjam jam gak ada. coba ajuin complain yang jawab malah AI, ckckck. kapok beli makanan disini. gak lagi deh",1,2026-05-29 21:09:40,Negatif
Good Aplication,5,2026-05-29 21:00:13,Positif
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,2026-05-29 20:52:00,Positif
good aplikator,5,2026-05-29 20:33:24,Positif
aplikasi tolol. ga ada pilihan buat lewat tol. jalur selalu di ambil yg terdekat. selisis jarak sampe 20km bikin driver rugi. ga kaya grap ada pilihan bisa lewat tol atau engganya,1,2026-05-29 20:20:49,Negatif
"Mungkin saran aja, untuk filter pencarian gofood sebaiknya ditambah filter lokasi jarak kedai terdekat sampai terjauh, gak cuman filter rentang harga aja.",5,2026-05-29 20:07:56,Positif
selalu mendapatkan pengalaman terbaik dan perjalanan terbaik,5,2026-05-29 19:54:31,Positif
kacau gak bisa nlp,1,2026-05-29 19:43:22,Negatif
sukakk bangettt gojek kyk penyelamat hidup,5,2026-05-29 19:08:27,Positif
"driver ramah, tepat waktu, dan bersih",5,2026-05-29 19:05:47,Positif
Mudah di gunakan,5,2026-05-29 19:00:32,Positif
mantab,5,2026-05-29 18:59:20,Positif
mantap,5,2026-05-29 18:53:42,Positif
sukaa bangett soalnya lebih murah dan aman dari aplikasi-aplikasi lainn,5,2026-05-29 18:49:21,Positif
kenapa klo pesen goride padahal disekitar bnyk driver dapatnya malah yg jauh2.. parah,3,2026-05-29 18:41:42,Netral
KNPA in aplikasi berat ya... padahal Ram hp gw 12 loh main game aja ringan...lah in aplikasi berat banget berasa jaringan ngk ada aneh,2,2026-05-29 18:38:37,Negatif
murah dan hemat,5,2026-05-29 18:15:54,Positif
gak membantu sama sekali pesan food sampai 3 kali kubatalin karna responnya lambat,1,2026-05-29 18:14:19,Negatif
mantap dan responship,5,2026-05-29 18:06:23,Positif
maaf banget driver ngeselin beda lokasi katanya dia ngomong terus tadinya aku mau ngash tips 20 ribu kalo misalkan dia gak mau nganterin bilang aja censel di aplikasi pesen ulanga bayar 13 k giriran dibayar 13k katanya di apk aslinya katanya 20k kalo misalkaan gak mau itu mending gak usah,1,2026-05-29 17:54:25,Negatif
ok baik,5,2026-05-29 17:51:41,Positif
ok..,5,2026-05-29 17:37:01,Positif
gojek Partner yang Baik,5,2026-05-29 17:17:59,Positif
"Sangat susah sekali nentuin titiknya , payah.",3,2026-05-29 16:55:30,Netral
"strses ni apk makin ngaco, benerin lagi dong gimanasih!",1,2026-05-29 16:46:53,Negatif
Aplikasi yang cukup baik dan membantu urusan pengiriman dokumen saya,5,2026-05-29 16:46:11,Positif
"jadi saya ga cancel pesanan tapi tiba tiba cari driver ulang, namun saya konfirmasi ke drivernya masih jalan dan ga ke cancel. Jadi pesanan saya numpuk 2 driver, tolong diperbaiki bugnya.",2,2026-05-29 16:13:28,Negatif
mantap,5,2026-05-29 16:06:05,Positif
"aplikasi ini bolak balik berulah, nanti tiba² bisa nggak mau terbuka aplikasinya",3,2026-05-29 15:24:33,Netral
tidak membantu,1,2026-05-29 15:21:55,Negatif
good,5,2026-05-29 15:04:02,Positif
Bagus,5,2026-05-29 15:00:11,Positif
Nyaman & santun sopirnya,5,2026-05-29 14:41:31,Positif
"Mohon maaf tolong aplikasi nya di perbaiki lagi paling gak banyakin fitur terbaru, misalnya ada promo dll",4,2026-05-29 14:39:05,Positif
